Date	CampaignId	CampaignName	Impressions	Clicks	Cost	Conversions	Bounces
2026-07-11	76937120	поиск / бренд / мск	1	0	0.00	0	0
2026-07-11	90292772	поиск / егэ+огэ / цел_гео	1	0	0.00	0	0
2026-07-11	91392732	поиск / егэ+огэ / коммерс	16	4	1131.75	3	0
2026-07-11	118255480	поиск / егэ+огэ / автотаргетинг / Ж 35-44	37	2	245.92	1	1
2026-07-11	710926114	мк / егэ / набор 26 / 2606-1	386	6	0.00	4	2
2026-07-12	76937120	поиск / бренд / мск	1	1	27.30	1	0
2026-07-12	90292772	поиск / егэ+огэ / цел_гео	3	0	0.00	0	0
2026-07-12	91392732	поиск / егэ+огэ / коммерс	25	3	583.48	3	0
2026-07-12	118255480	поиск / егэ+огэ / автотаргетинг / Ж 35-44	41	1	113.22	1	0
2026-07-12	710926114	мк / егэ / набор 26 / 2606-1	329	5	0.00	3	2
2026-07-13	76937120	поиск / бренд / мск	2	1	216.61	1	0
2026-07-13	90292772	поиск / егэ+огэ / цел_гео	8	3	1151.50	2	0
2026-07-13	91392732	поиск / егэ+огэ / коммерс	10	1	61.91	1	1
2026-07-13	118255480	поиск / егэ+огэ / автотаргетинг / Ж 35-44	29	1	75.91	1	0
2026-07-13	710926114	мк / егэ / набор 26 / 2606-1	1441	19	0.00	9	5
2026-07-14	76937120	поиск / бренд / мск	14	3	150.69	3	0
2026-07-14	90292772	поиск / егэ+огэ / цел_гео	6	1	447.86	1	0
2026-07-14	91392732	поиск / егэ+огэ / коммерс	15	0	0.00	0	0
2026-07-14	118255480	поиск / егэ+огэ / автотаргетинг / Ж 35-44	37	2	239.59	3	0
2026-07-14	710926114	мк / егэ / набор 26 / 2606-1	1070	5	0.00	2	3
2026-07-15	76937120	поиск / бренд / мск	23	1	104.08	1	0
2026-07-15	90292772	поиск / егэ+огэ / цел_гео	3	2	329.87	2	0
2026-07-15	91392732	поиск / егэ+огэ / коммерс	18	5	956.00	6	1
2026-07-15	118255480	поиск / егэ+огэ / автотаргетинг / Ж 35-44	51	2	136.73	1	0
2026-07-15	710926114	мк / егэ / набор 26 / 2606-1	433	7	0.00	3	2
